Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Tests_Authentication,,,2018-02-20 16:10:30,2018-02-20 16:10:32,2.071s,PASSED
,,,,,,
Test Cases/Register/Login successful case,,,2018-02-20 16:10:31,2018-02-20 16:10:32,1.297s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-02-20 16:10:31,2018-02-20 16:10:31,0.025s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/Login)),,,2018-02-20 16:10:31,2018-02-20 16:10:32,0.900s,PASSED
verifyResponseStatusCode,,,2018-02-20 16:10:32,2018-02-20 16:10:32,0.017s,PASSED
verifyElementPropertyValue,,,2018-02-20 16:10:32,2018-02-20 16:10:32,0.089s,PASSED
Start listener action : sampleAfterTestCase,,,2018-02-20 16:10:32,2018-02-20 16:10:32,0.011s,PASSED
